,identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode,user_type,OS,ratioBuySell
51,-6589093921826008799,user,Etats-Unis,en,3,9,1,0,0,0.0,14,1,M,1,mr,False,False,False,True,26,3205,106.83,8.9,us,exclusive_buyer,Browser,inf
85,-937288556484695351,user,Suède,en,5,8,0,0,0,0.0,107,1,M,1,mr,False,False,False,True,543,3205,106.83,8.9,se,exclusive_buyer,Browser,inf
95,7144186809315241123,user,Canada,en,4,10,1,0,0,0.0,7,1,F,2,mrs,True,True,False,True,208,3205,106.83,8.9,ca,exclusive_buyer,Android,inf
102,4994268169579335625,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,2,F,2,mrs,False,False,False,True,27,3205,106.83,8.9,gb,exclusive_buyer,Browser,inf
114,4907046938384800140,user,Etats-Unis,en,28,29,0,0,0,0.0,4,6,M,1,mr,True,False,True,False,15,3205,106.83,8.9,us,exclusive_buyer,iOS,inf
215,28887257354410673,user,Allemagne,de,5,8,3,0,0,0.0,0,5,F,2,mrs,True,False,True,True,338,3205,106.83,8.9,de,exclusive_buyer,iOS,inf
282,-6445120475856085951,user,Japon,en,3,8,12,0,0,0.0,1,1,M,1,mr,False,False,False,True,29,3205,106.83,8.9,jp,exclusive_buyer,Browser,inf
317,-2217321123144819839,user,Danemark,en,7,8,0,0,0,0.0,0,2,M,1,mr,True,True,False,True,50,3205,106.83,8.9,dk,exclusive_buyer,Android,inf
457,-3356567001830581051,user,Etats-Unis,en,4,9,0,0,0,0.0,143,5,M,1,mr,False,False,False,True,151,3205,106.83,8.9,us,exclusive_buyer,Browser,inf
481,845308073762487992,user,Royaume-Uni,en,3,8,1,0,0,0.0,0,1,M,1,mr,True,False,True,True,180,3205,106.83,8.9,gb,exclusive_buyer,iOS,inf
552,2703212675124888909,user,Etats-Unis,en,4,8,0,0,0,0.0,0,1,F,2,mrs,True,False,True,True,106,3205,106.83,8.9,us,exclusive_buyer,iOS,inf
580,-4813911691583763556,user,Etats-Unis,en,3,8,1,0,0,0.0,0,1,F,2,mrs,False,False,False,True,142,3205,106.83,8.9,us,exclusive_buyer,Browser,inf
590,-571732967832052970,user,Australie,en,5,8,0,0,0,0.0,0,1,F,2,mrs,False,False,False,True,701,3205,106.83,8.9,au,exclusive_buyer,Browser,inf
615,5991235367425287380,user,Etats-Unis,en,3,8,20,0,0,0.0,22,2,F,2,mrs,True,False,True,True,139,3205,106.83,8.9,us,exclusive_buyer,iOS,inf
642,825235030229224759,user,Canada,en,4,7,89,0,0,0.0,1,1,M,1,mr,True,False,True,False,11,3205,106.83,8.9,ca,exclusive_buyer,iOS,inf
659,-2432602121601886920,user,Etats-Unis,en,3,9,39,0,0,0.0,1,1,F,2,mrs,True,True,False,True,350,3205,106.83,8.9,us,exclusive_buyer,Android,inf
